"ID","InternalID","Name","CardType","MonsterType","Attribute","Type","Level","ATK","DEF","Password","Limit","Description"
28,441,"Aqua Dragon","Monster","Fusion","WATER","Sea Serpent",6,2250,1900,"86164529",3,"Fairy Dragon + Amazon of the Seas + Zone Eater"
29,212,"Aqua Madoor","Monster","Normal","WATER","Spellcaster",4,1200,2000,"85639257",3,"A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him."
30,179,"Arlownay","Monster","Normal","EARTH","Plant",3,800,1000,"14708569",3,"A lady monster dwelling in a flower, she sprinkles the air with poisonous pollen."
31,195,"Arma Knight","Monster","Normal","WATER","Aqua",4,1000,1200,"36151751",3,"An ammonite warrior that has protected the seas throughout history."
32,171,"Armaill","Monster","Normal","EARTH","Warrior",3,700,1300,"53153481",3,"A strange warrior who manipulates three deadly blades with both hands and his tail."
33,468,"Armed Ninja","Monster","Effect","EARTH","Warrior",1,300,300,"09076207",3,"FLIP: Destroys 1 Magic Card on the field. If this card's target is face-down, flip it face-up. If the card is a Magic Card, it is destroyed. If not, it is returned to its face-down position. The flipped card is not activated."
34,1136,"Armored Glass","Trap",,,,,,,"36868108",3,"You can activate this card when a monster is equpped with an Equip Magic Card to deactivate the effects of all Equip Magic Cards on the field."
35,50,"Armored Lizard","Monster","Normal","EARTH","Reptile",4,1500,1200,"15480588",3,"A lizard with a very tough hide and a vicious bite."
36,628,"Armored Rat","Monster","Normal","EARTH","Beast",3,950,1100,"16246527",3,"The fur on this monster rat is tough enough to repel swords."
37,614,"Armored Starfish","Monster","Normal","WATER","Aqua",4,850,1400,"17535588",3,"A bluish starfish with a solid hide capable of fending off attacks."
38,95,"Armored Zombie","Monster","Normal","DARK","Zombie",3,1500,0,"20277860",3,"This warrior blindly swings a deadly blade with devastating force."
39,303,"Axe of Despair","Magic",,,,,,,"40619825",3,"A monster equipped with this card increases its ATK by 1000 points. When this card is sent from the field to the Graveyard, you can offer 1 monster from the field as a Tribute to place it on top of your Deck."
40,77,"Axe Raider","Monster","Normal","EARTH","Warrior",4,1700,1150,"48305365",3,"An axe-wielding monster of tremendous strength and agility."
41,570,"B. Dragon Jungle King","Monster","Normal","EARTH","Dragon",6,2100,1800,"89832901",3,"A jet-black dragon found in the deepest jungles who normally devours trees."
42,216,"B. Skull Dragon","Monster","Fusion","DARK","Dragon",9,3200,2500,,3,"Summoned Skull + Red-Eyes B. Dragon"
43,3,"Baby Dragon","Monster","Normal","WIND","Dragon",3,1200,700,"88819587",3,"Much more than just a child, this dragon is gifted with untapped power."
44,1147,"Backup Soldier","Trap",,,,,,,"36280194",2,"You can activate this card when there are 5 or more Monster Cards in your Graveyard. Take up to 3 Normal Monster Cards with an ATK of 1500 points or less from your Graveyard and add them to your hand."
45,1107,"Banisher of the Light","Monster","Effect","LIGHT","Fairy",3,100,2000,"61528025",3,"As long as this card remains face-up on the field, any card sent to the Graveyard is removed from play."
46,85,"Barox","Monster","Fusion","DARK","Fiend",5,1380,1530,"06840573",3,"Frenzied Panda + Ryu-Kishin"
47,742,"Barrel Dragon","Monster","Effect","DARK","Machine",7,2600,2200,"81480460",3,"Toss a coin 3 times. If 2 out of 3 results are Heads, destroy 1 opponent's monster. This card can only be used during your own turn, once per turn."
48,488,"Barrel Lily","Monster","Normal","EARTH","Plant",3,1100,600,"67841515",3,"This wicked flower attacks enemies with pollen projectiles."
49,454,"Barrel Rock","Monster","Normal","EARTH","Rock",4,1000,1300,"10476868",3,"Shouldering a pair of machine guns, this monster is unstoppable."
50,49,"Basic Insect","Monster","Normal","EARTH","Insect",2,500,700,"89091579",3,"Usually found traveling in swarms, this creature's ideal environment is the forest."
51,25,"Battle Ox","Monster","Normal","EARTH","Beast-Warrior",4,1700,1000,"05053103",3,"A monster with tremendous power, it destroys enemies with a swing of its axe."
52,13,"Battle Steer","Monster","Normal","EARTH","Beast-Warrior",5,1800,1300,"18246479",3,"A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns."
53,99,"Battle Warrior","Monster","Normal","EARTH","Warrior",3,700,1000,"55550921",3,"A warrior that fights with his bare hands."
54,510,"Bean Soldier","Monster","Normal","EARTH","Plant",4,1400,1300,"84990171",3,"A plant-warrior that attacks with seeds and sword."
55,307,"Beast Fangs","Magic",,,,,,,"46009906",3,"A Beast-type monster equipped with this card increases its ATK and DEF by 300 points."
56,257,"Beastking of the Swamps","Monster","Effect","WATER","Aqua",4,1000,1100,"99426834",3,"You can substitute this card for any 1 Fusion-Material Monster. You cannot substitute for any other Fusion-Material Monsters in the current Fusion."
57,673,"Beastly Mirror Ritual","Magic",,,,,,,,3,"This card is used to summon ""Fiend's Mirror"". You must also offer monsters whose total Level stars equal 6 or more as a Tribute from the field or your hand."
58,233,"Beautiful Headhuntress","Monster","Normal","EARTH","Warrior",4,1600,800,"16899564",3,"A vicious creature that has decapitated numerous enemy monsters."
59,26,"Beaver Warrior","Monster","Normal","EARTH","Beast-Warrior",4,1200,1500,"32452818",3,"What this creature lacks in size it makes up for in defense when battling in the prairie."
60,549,"Behegon","Monster","Normal","WATER","Aqua",4,1350,1000,"94022093",3,"With a large mouth and massive teeth, this is one dangerous and strange sea snake."
61,939,"Bell of Destruction","Trap",,,,,,,"83555666",2,"Destroy 1 face-up Monster Card and inflict Direct Damage equal to the destroyed card's ATK to the Life Points of both you and your opponent."
62,756,"Beta The Magnet Warrior","Monster","Normal","EARTH","Rock",4,1700,1600,"39256679",3,"Alpha, Beta, and Gamma meld as one to form a powerful monster."
63,384,"Bickuribox","Monster","Fusion","DARK","Fiend",7,2300,2000,"25655502",3,"Crass Clown + Dream Clown"
64,170,"Big Eye","Monster","Effect","DARK","Fiend",4,1200,1000,"16768387",3,"FLIP: Draw 5 cards from the top of your Deck, arrange them in any order desired, and replace them on top of the Deck."
65,48,"Big Insect","Monster","Normal","EARTH","Insect",4,1200,1500,"53606874",3,"A giant ant that dwells in the jungle, it is powerful whether attacking or defending."
66,1201,"Big Shield Gardna","Monster","Effect","EARTH","Warrior",4,100,2600,"65240384",3,"When this card is face-down and targeted by a Magic Card whose effect targets only 1 monster the Magic Card is negated and this card is turned face-up in Defense Position. When this card is attacked, it is shifted to Attack Position following the Damage step."
67,583,"Binding Chain","Monster","Normal","LIGHT","Fairy",3,1000,1100,"08058240",3,"The mystic links of this chain can rob enemies of their power."
68,294,"Bio Plant","Monster","Normal","DARK","Fiend",3,600,1300,"07670542",3,"A monster created from a major accident in an underground lab."
69,958,"Black Illusion Ritual","Magic",,,,,,,"41426869",3,"This card is used to Ritual Summon ""Relinquished"". You must also offer monsters whose total Level Stars equal 1 or more from the field or your hand as a Tribute."
70,669,"Black Luster Ritual","Magic",,,,,,,,3,"This card is used to summon ""Black Luster Soldier"". You must also offer monsters whose total Level stars equal 8 or more from the field or your hand as a Tribute."
71,363,"Black Luster Soldier","Monster","Ritual","EARTH","Warrior",8,3000,2500,,3,"This monster is summoned with the Ritual Magic Card, ""Black Luster Ritual"". You must also offer monsters whose total Level stars equal 8 or more as a Tribute from the field or your hand."
72,310,"Black Pendant","Magic",,,,,,,"65169794",3,"A monster equipped with this card increases its ATK by 500 points. When this card is sent from the field to the Graveyard, inflict 500 points of Direct Damage to your opponent's Life Points."
73,9,"Blackland Fire Dragon","Monster","Normal","DARK","Dragon",4,1500,800,"87564352",3,"A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight."
74,608,"Bladefly","Monster","Effect","WIND","Insect",2,600,700,"28470714",3,"As long as this card remains face-up on the field, increase the ATK of all WIND monsters by 500 points and decrease the ATK of all EARTH monsters by 400 points."
75,416,"Blast Juggler","Monster","Effect","FIRE","Machine",3,800,900,"70138455",3,"You can destroy 2 monsters with an ATK of 1000 or less by offering this card as a Tribute if it is face-up on the field during your Standby Phase."
76,735,"Blast Sphere","Monster","Effect","DARK","Machine",4,1400,1400,"26302522",3,"When your opponent attacks this monster in face-down Defense Position, this card is treated as an Equip Card and is used to equip the attacking monster (damage is not calculated). The equipped monster and this card are destroyed during your opponent's next Standby Phase. Your opponent then receives Direct Damage equal to the equipped monster's ATK."
77,1043,"Block Attack","Magic",,,,,,,"25880422",3,"You can select 1 of your opponent's monsters and shift it to Defense Position."
78,1006,"Blue Medicine","Magic",,,,,,,"20871001",3,"Increase your Life Points by 400 points."
79,138,"Blue-Eyed Silver Zombie","Monster","Normal","DARK","Zombie",3,900,700,"35282433",3,"The beams from the eyes of this creature are said to turn enemies into zombies."
80,766,"Blue-Eyes Toon Dragon","Monster","Effect","LIGHT","Dragon",8,3000,2500,"53183600",3,"This card cannot be summoned unless ""Toon World"" is on the field. This card cannot attack in the same turn that it is summoned. Pay 500 Life Points each time this monster attacks. When ""Toon World"" is destroyed, this card is also destroyed. If your opponent doesn't control a Toon monster on the field, this card may inflict Direct Damage to your opponent's Life Points. If a Toon monster is on your opponent's side of the field, your attacks must target the Toon monster."
81,379,"Blue-Eyes Ultimate Dragon","Monster","Fusion","LIGHT","Dragon",12,4500,3800,,3,"Blue-Eyes White Dragon + Blue-Eyes White Dragon + Blue-Eyes White Dragon"
82,0,"Blue-Eyes White Dragon","Monster","Normal","LIGHT","Dragon",8,3000,2500,"89631139",3,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale."
83,2000,"Blue-Eyes White Dragon (alternate artwork)","Monster","Normal","LIGHT","Dragon",8,3000,2500,"80906030",3,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale."
84,635,"Blue-Winged Crown","Monster","Normal","WIND","Winged Beast",4,1600,1200,"41396436",3,"With hair shaped like a crown and a body encased in bluish white flames, this bird is a formidable sight."
85,1118,"Boar Soldier","Monster","Effect","EARTH","Beast-Warrior",4,2000,500,"21340051",3,"This card can only be summoned by a Flip Summon. If summoned by a Normal Summon, the card is destroyed. If your opponent has 1 or more monsters under his/her control, the ATK of this card is decreased by 1000 points."
86,459,"Bolt Escargot","Monster","Normal","WATER","Thunder",5,1400,1500,"12146024",3,"After rendering an opponent immobile by spitting a sticky goo, this monster closes in for the attack."
87,322,"Book of Secret Arts","Magic",,,,,,,"91595718",3,"A Spellcaster-type monster equipped with this card increases its ATK and DEF by 300 points."
88,438,"Bottom Dweller","Monster","Normal","WATER","Fish",5,1650,1700,"81386177",3,"This is one sea creature whose wrath is something monsters fear to face."
89,508,"Bracchio-raidus","Monster","Fusion","WATER","Dinosaur",6,2200,2000,"16507828",3,"Two-Headed King Rex + Crawling Dragon #2"
90,662,"Breath of Light","Magic",,,,,,,"20101223",3,"Destroys all Rock-type monsters on the field."
91,667,"Bright Castle","Magic",,,,,,,"82878489",3,"Increases the ATK of all LIGHT monsters by 700 points."
92,480,"Burglar","Monster","Normal","EARTH","Beast",3,850,800,"06297941",3,"A wily rat armed with a huge left claw."
93,1012,"Burning Spear","Magic",,,,,,,"18937875",3,"A FIRE monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points."
94,808,"Buster Blader","Monster","Effect","EARTH","Warrior",7,2600,2300,"78193831",3,"The ATK of this card increases by 500 points for every Dragon-type monster in your opponent's side of the field and Graveyard."
95,1026,"Call of the Dark","Trap",,,,,,,"78637313",3,"All monsters restored with ""Monster Reborn"" are sent to the Graveyard. ""Monster Reborn"" also cannot be played as long as this card remains on the field."
96,1021,"Call of the Grave","Trap",,,,,,,"16970158",3,"Deactivate the effect of ""Monster Reborn"" when your opponent plays it."
97,1095,"Call Of The Haunted","Trap",,,,,,,"97077563",1,"Select 1 monster from your Graveyard and Special Summon it in Attack Position. When this card is destroyed or removed from the field, the summoned monster is also destroyed, and vice-versa."
98,241,"Candle of Fate","Monster","Normal","DARK","Fiend",2,600,600,"47695416",3,"Decides the fate of an opponent when the candle on its fingertip burns out."
99,511,"Cannon Soldier","Monster","Effect","DARK","Machine",4,1400,1300,"11384280",3,"Offer 1 or more monsters on your side of the field as a Tribute to inflict 500 points of Direct Damage per monster to your opponent's Life Points.  Monsters used for a Tribute Summon or that are offered as Tributes due to other cards' effects are excluded."
100,82,"Castle of Dark Illusions","Monster","Effect","DARK","Fiend",4,920,1930,"00062121",3,"Increases the ATK and DEF of all Zombie-type monsters by 200 points for each turn this card is face-up. This effect remains for 5 turns."
101,1016,"Castle Walls","Trap",,,,,,,"44209392",3,"Increase a selected monster's DEF by 500 points during the turn this card is activated."
102,88,"Catapult Turtle","Monster","Effect","WATER","Aqua",5,1000,2000,"95727991",3,"Offer 1 of your monsters on the field as a Tribute. Half of the Tribute monster's ATK is inflicted to your opponent's Life Points as Direct Damage."
103,1150,"Ceasefire","Trap",,,,,,,"36468556",1,"Flip all face-down Monster Cards on the field face-up (Flip Effects are not activated). For every Effect Monster Card on the field, decrease your opponent's Life Points by 500 points."
104,40,"Celtic Guardian","Monster","Normal","EARTH","Warrior",4,1400,1200,"91152256",3,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks."
105,2040,"Celtic Guardian (alternate artwork)","Monster","Normal","EARTH","Warrior",4,1400,1200,"90101050",3,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks."
106,1121,"Ceremonial Bell","Monster","Effect","LIGHT","Spellcaster",3,0,1850,"20228463",3,"As long as this card remains face-up on the field, you and your opponent must show your respective hands to each other."
107,969,"Chain Destruction","Trap",,,,,,,"01248895",3,"You can activate this card when a monster with an ATK of 2000 points or less is summoned (including Special Summon). Destroys all Monster Cards of the same name in the summoning player's hand and Deck. The summoning player's Deck is then shuffled."
108,1078,"Chain Energy","Magic",,,,,,,"79323590",3,"As long as this card remains face-up on the field, both you and your opponent must pay 500 Life Points per card to play or Set cards from your respective hands."
109,708,"Chakra","Monster","Ritual","DARK","Fiend",7,2450,2000,,3,"This monster is summoned with the Ritual Magic Card, ""Resurrection of Chakra"". You must also offer monsters whose total Level stars equal 7 or more as a Tribute from the field or your hand."
110,1027,"Change of Heart","Magic",,,,,,,"04031928",1,"Select and control 1 opposing monster (regardless of position) on the field until the end of your turn."
111,132,"Charubin the Fire Knight","Monster","Fusion","FIRE","Pyro",3,1100,800,"37421579",3,"Monster Egg + Hinotama Soul"
112,1069,"Chorus of Sanctuary","Magic",,,,,,,"81380218",3,"Increases the DEF of all Defense Position monsters by 500 points."
113,177,"Claw Reacher","Monster","Normal","DARK","Fiend",3,1000,800,"41218256",3,"Stretching arms and razor-sharp claws make this monster a formidable opponent."
114,97,"Clown Zombie","Monster","Normal","DARK","Zombie",2,1350,0,"92667214",3,"A clown revived by the powers of darkness, its deadly dance has sent many monsters to their grave."
115,478,"Cockroach Knight","Monster","Effect","EARTH","Insect",3,800,900,"33413638",3,"When this card is sent to the Graveyard, it is returned to the top of the Deck instead."
116,71,"Cocoon of Evolution","Monster","Effect","EARTH","Insect",3,0,2000,,3,"You may treat this card as an Equip Magic Card on a face-up ""Petit Moth"" on the field.  When equipped, the ATK and DEF of ""Petit Moth"" becomes the same as ""Cocoon of Evolution""."
117,675,"Commencement Dance","Magic",,,,,,,,3,"This card is used to Ritual Summon ""Performance of Sword"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand."
118,1070,"Confiscation","Magic",,,,,,,"17375316",1,"Pay 1000 Life Points to look at your opponent's hand. Select 1 card and discard it to the Graveyard."
119,707,"Cosmo Queen","Monster","Normal","DARK","Spellcaster",8,2900,2450,,3,"Queen of the galaxies and mistress of the stars."
120,709,"Crab Turtle","Monster","Ritual","WATER","Aqua",8,2550,2500,,3,"This monster can only be Ritual Summoned with the Ritual Magic Card, ""Turtle Oath"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand."
121,94,"Crass Clown","Monster","Effect","DARK","Fiend",4,1350,1400,"93889755",3,"When this card is shifted from Defense Position to Attack Position, return 1 of your opponent's monsters to the owner's hand."
122,93,"Crawling Dragon","Monster","Normal","EARTH","Dragon",5,1600,1400,"67494157",3,"This weakened dragon can no longer fly, but is still a deadly force to be reckoned with."
123,80,"Crawling Dragon #2","Monster","Normal","EARTH","Dinosaur",4,1600,1200,"38289717",3,"A powerful dragon with teeth that can grind almost anything to dust."
124,506,"Crazy Fish","Monster","Normal","WATER","Fish",4,1600,1200,"53713014",3,"A flying fish that attacks with its pointed head."
125,466,"Crimson Sunbird","Monster","Fusion","FIRE","Winged Beast",6,2300,1800,"46696593",3,"Faith Bird + Skull Red Bird"
126,576,"Crow Goblin","Monster","Normal","WIND","Winged Beast",5,1850,1600,"77998771",3,"A clever long-nosed goblin, he is a force to be reckoned with."
127,660,"Crush Card","Trap",,,,,,,"57728570",3,"Offer 1 DARK monster with an ATK of 1000 or less as a Tribute.  Any opponent's monster with an ATK of 1500 or higher on the field, in your opponent's hand, or drawn in the next 3 turns is automatically destroyed."
128,38,"Curse of Dragon","Monster","Normal","DARK","Dragon",5,2000,1500,"28279543",3,"A wicked dragon that taps into dark forces to execute a powerful attack."
129,1064,"Curse of Fiend","Magic",,,,,,,"12470447",3,"Changes the battle positions of all Attack Position monsters on the field to Defense Position and vice-versa. These positions cannot be changed during the turn this card is activated except by the effect of a Magic, Trap or Effect Monster Card. You can activate this card only during your Standby Phase."
130,103,"Curtain of the Dark Ones","Monster","Normal","DARK","Spellcaster",2,600,500,"22026707",3,"A curtain that a spellcaster made.  It is said to raise a dark power."
131,420,"Cyber Commander","Monster","Normal","DARK","Machine",2,750,700,"06400512",3,"A strike force equipped with rocket launchers and bazookas."
132,1171,"Cyber Falcon","Monster","Normal","WIND","Machine",4,1400,1200,"30655537",3,"A jet-powered hawk that travels at the speed of sound."
133,1106,"Cyber Jar","Monster","Effect","DARK","Rock",3,900,900,"34124316",1,"FLIP: Destroys all monsters on the field (including this monster). Both players then pick up (not Draw) 5 cards from the top of their respective Decks and show the cards to each other. Immediately Special Summon any Monster Cards of Level 4 or lower among them on the field in face-up Attack Position or face-down Defense Position. The rest of the cards picked up are placed in the players' hands."
134,507,"Cyber Saurus","Monster","Fusion","EARTH","Machine",5,1800,1400,"89112729",3,"Blast Juggler + Two-Headed King Rex"
135,316,"Cyber Shield","Magic",,,,,,,"63224564",3,"Increases the ATK of either ""Harpie Lady"" or ""Harpie Lady Sisters"" by 500 points."
136,412,"Cyber Soldier","Monster","Normal","DARK","Machine",5,1500,1700,"44865098",3,"Guardian of the Machine Master, it crushes opposition by rolling over them."
137,419,"Cyber-Stein","Monster","Effect","DARK","Machine",2,700,500,"69015963",3,"At the cost of 5000 of your own Life Points, you can Special Summon 1 Fusion Monster from your Fusion Deck in face-up Attack Position."
138,798,"Cyber-Tech Alligator","Monster","Normal","WIND","Machine",5,2500,1600,"48766543",3,"A winged dragon brought back to life by means of modern technology."
139,501,"D. Human","Monster","Normal","EARTH","Warrior",4,1300,1100,"81057959",3,"Gifted with the power of dragons, this warrior wields a sword created from a dragon's fang."
140,394,"Dancing Elf","Monster","Normal","WIND","Fairy",1,300,200,"59983499",3,"An elf that dances across the sky with wings of razor-sharp blades."
141,287,"Dark Artist","Monster","Effect","DARK","Fiend",3,600,1400,"72520073",3,"The DEF of this monster is decreased by half when attacked by LIGHT monsters."
142,240,"Dark Assailant","Monster","Normal","DARK","Zombie",4,1200,1200,"41949033",3,"Armed with the Psycho Sword, this sinister assassin rules the bad land."
143,86,"Dark Chimera","Monster","Normal","DARK","Fiend",5,1610,1460,"32344688",3,"A fire-breathing monster that dwells in the netherworld."
144,550,"Dark Elf","Monster","Effect","DARK","Spellcaster",4,2000,800,"21417692",3,"This card requires a cost of 1000  of your own Life Points to attack."
145,302,"Dark Energy","Magic",,,,,,,"04614116",3,"A Fiend-type monster equipped with this card increases its ATK and DEF by 300 points."
146,112,"Dark Gray","Monster","Normal","EARTH","Beast",3,800,900,"09159938",3,"Entirely gray, this beast has rarely been seen by mortal eyes."
147,335,"Dark Hole","Magic",,,,,,,"53129443",1,"Destroys all monsters on the field."
148,168,"Dark King of the Abyss","Monster","Normal","DARK","Fiend",3,1200,800,"53375573",3,"It's said that this King of the Netherworld once had the power to rule over the dark."
149,720,"Dark Magic Ritual","Magic",,,,,,,,3,"This card is used to summon ""Magician of Black Chaos"". You must also offer monsters whose total Level stars equal 8 or more from the field or your hand as a Tribute."
150,34,"Dark Magician","Monster","Normal","DARK","Spellcaster",7,2500,2100,"46986414",3,"The ultimate wizard in terms of attack and defense."
151,2034,"Dark Magician (alternate artwork)","Monster","Normal","DARK","Spellcaster",7,2500,2100,"40609080",3,"The ultimate wizard in terms of attack and defense."
152,759,"Dark Magician Girl","Monster","Effect","DARK","Spellcaster",6,2000,1700,,3,"This card's ATK increases by 300 points for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard."
153,383,"Dark Rabbit","Monster","Normal","DARK","Beast",4,1100,1500,"99261403",3,"A cartoon rabbit that quickly leaps all over the place, making it a difficult target."
154,1202,"Dark Sage","Monster","Effect","DARK","Spellcaster",9,2800,3200,"92377303",3,"When you activate the effect of ""Time Wizard"" and call it right, you can summon this card from either your hand or your Deck by offering 1""Dark Magician"" as a Tribute.  Then move 1 Magic Card from your Deck to your hand and shuffle your Deck."
155,180,"Dark Shade","Monster","Normal","WIND","Fiend",3,1000,1000,"40196604",3,"A crystal monster that unleashes a brilliant light to blind enemies."
156,581,"Dark Witch","Monster","Normal","LIGHT","Fairy",5,1800,1700,"35565537",3,"A popular creature in mythology that delivers fatal attacks with a sharp spear."
157,1113,"Dark Zebra","Monster","Effect","EARTH","Beast",4,1800,400,"59784896",3,"If this is the only card in your control during your Standby Phase, it is automatically placed in Defense Position. You cannot change the position of this card during the same turn."
158,729,"Dark-Eyes Illusionist","Monster","Effect","DARK","Spellcaster",2,0,1400,"38247752",3,"FLIP : As long as this card remains on the field, 1 designated monster cannot attack."
159,167,"Darkfire Dragon","Monster","Fusion","DARK","Dragon",4,1500,1250,"17881964",3,"Firegrass + Petit Dragon"
160,1167,"Darkfire Soldier #1","Monster","Normal","FIRE","Pyro",4,1700,1150,"05388481",3,"An explosive expert from a special elite force."
161,1169,"Darkfire Soldier #2","Monster","Normal","FIRE","Pyro",4,1700,1100,"78861134",3,"A warrior who gained immeasurable power from the heart of a volcano."
162,1072,"Darkness Approaches","Magic",,,,,,,"80168720",3,"Discard 2 cards from your hand. Select 1 face-up monster and flip it face-down, but do not change its battle position."
163,349,"Dark-Piercing Light","Magic",,,,,,,"45895206",3,"Flip all of your opponent's face-down Monster Cards on the field face-up.  The effect of the monster will activate at this time."
164,566,"Darkworld Thorns","Monster","Normal","EARTH","Plant",3,1200,900,"43500484",3,"A thorny plant found in the darklands that wraps itself around any  unwary traveler."
165,436,"Deepsea Shark","Monster","Fusion","WATER","Fish",5,1900,1600,"28593363",3,"Bottom Dweller + Tongyo"
166,1071,"Delinquent Duo","Magic",,,,,,,"44763025",2,"Pay 1000 Life Points. Randomly select and discard 1 card from your opponent's hand. Your opponent then selects and discards another card from his/her hand."
167,1009,"De-Spell","Magic",,,,,,,"19159413",3,"Destroys 1 Magic Card on the field. If this card's target is face-down, flip it face-up. If the card is a Magic Card, it is destroyed. If not, it is returned to its face-down position. The flipped card is not activated."
168,453,"Destroyer Golem","Monster","Normal","EARTH","Rock",4,1500,1000,"73481154",3,"A golem with a massive right hand for crushing its victims."
169,341,"Dian Keto the Cure Master","Magic",,,,,,,,3,"Increases your Life Points by 1000 points."
170,422,"Dice Armadillo","Monster","Normal","EARTH","Machine",5,1650,1800,"69893315",3,"An armadillo monster that rolls up to form a dice-like shape."
