"ID","Name","CardType","MonsterType","Attribute","Type","Level","ATK","DEF","Password","Limit"
94,"Buster Blader","Monster","Effect","EARTH","Warrior",7,2600,2300,78193831,3
95,"Call of the Dark","Trap",,,,,,,78637313,3
96,"Call of the Grave","Trap",,,,,,,16970158,3
97,"Call Of The Haunted","Trap",,,,,,,97077563,1
98,"Candle of Fate","Monster","Normal","DARK","Fiend",2,600,600,47695416,3
99,"Cannon Soldier","Monster","Effect","DARK","Machine",4,1400,1300,11384280,3
100,"Castle of Dark Illusions","Monster","Effect","DARK","Fiend",4,920,1930,62121,3
101,"Castle Walls","Trap",,,,,,,44209392,3
102,"Catapult Turtle","Monster","Effect","WATER","Aqua",5,1000,2000,95727991,3
103,"Ceasefire","Trap",,,,,,,36468556,1
104,"Celtic Guardian","Monster","Normal","EARTH","Warrior",4,1400,1200,91152256,3
105,"Celtic Guardian (alternate artwork)","Monster","Normal","EARTH","Warrior",4,1400,1200,90101050,3
106,"Ceremonial Bell","Monster","Effect","LIGHT","Spellcaster",3,0,1850,20228463,3
107,"Chain Destruction","Trap",,,,,,,1248895,3
108,"Chain Energy","Magic",,,,,,,79323590,3
109,"Chakra","Monster","Ritual","DARK","Fiend",7,2450,2000,,3
110,"Change of Heart","Magic",,,,,,,4031928,1
111,"Charubin the Fire Knight","Monster","Fusion","FIRE","Pyro",3,1100,800,37421579,3
112,"Chorus of Sanctuary","Magic",,,,,,,81380218,3
113,"Claw Reacher","Monster","Normal","DARK","Fiend",3,1000,800,41218256,3
114,"Clown Zombie","Monster","Normal","DARK","Zombie",2,1350,0,92667214,3
115,"Cockroach Knight","Monster","Effect","EARTH","Insect",3,800,900,33413638,3
116,"Cocoon of Evolution","Monster","Effect","EARTH","Insect",3,0,2000,,3
117,"Commencement Dance","Magic",,,,,,,,3
118,"Confiscation","Magic",,,,,,,17375316,1
119,"Cosmo Queen","Monster","Normal","DARK","Spellcaster",8,2900,2450,,3
120,"Crab Turtle","Monster","Ritual","WATER","Aqua",8,2550,2500,,3
121,"Crass Clown","Monster","Effect","DARK","Fiend",4,1350,1400,93889755,3
122,"Crawling Dragon","Monster","Normal","EARTH","Dragon",5,1600,1400,67494157,3
123,"Crawling Dragon #2","Monster","Normal","EARTH","Dinosaur",4,1600,1200,38289717,3
124,"Crazy Fish","Monster","Normal","WATER","Fish",4,1600,1200,53713014,3
125,"Crimson Sunbird","Monster","Fusion","FIRE","Winged Beast",6,2300,1800,46696593,3
126,"Crow Goblin","Monster","Normal","WIND","Winged Beast",5,1850,1600,77998771,3
127,"Crush Card","Trap",,,,,,,57728570,3
128,"Curse of Dragon","Monster","Normal","DARK","Dragon",5,2000,1500,28279543,3
129,"Curse of Fiend","Magic",,,,,,,12470447,3
130,"Curtain of the Dark Ones","Monster","Normal","DARK","Spellcaster",2,600,500,22026707,3
131,"Cyber Commander","Monster","Normal","DARK","Machine",2,750,700,6400512,3
132,"Cyber Falcon","Monster","Normal","WIND","Machine",4,1400,1200,30655537,3
133,"Cyber Jar","Monster","Effect","DARK","Rock",3,900,900,34124316,1
134,"Cyber Saurus","Monster","Fusion","EARTH","Machine",5,1800,1400,89112729,3
135,"Cyber Shield","Magic",,,,,,,63224564,3
136,"Cyber Soldier","Monster","Normal","DARK","Machine",5,1500,1700,44865098,3
137,"Cyber-Stein","Monster","Effect","DARK","Machine",2,700,500,69015963,3
138,"Cyber-Tech Alligator","Monster","Normal","WIND","Machine",5,2500,1600,48766543,3
139,"D. Human","Monster","Normal","EARTH","Warrior",4,1300,1100,81057959,3
140,"Dancing Elf","Monster","Normal","WIND","Fairy",1,300,200,59983499,3
141,"Dark Artist","Monster","Effect","DARK","Fiend",3,600,1400,72520073,3
142,"Dark Assailant","Monster","Normal","DARK","Zombie",4,1200,1200,41949033,3
143,"Dark Chimera","Monster","Normal","DARK","Fiend",5,1610,1460,32344688,3
144,"Dark Elf","Monster","Effect","DARK","Spellcaster",4,2000,800,21417692,3
145,"Dark Energy","Magic",,,,,,,4614116,3
146,"Dark Gray","Monster","Normal","EARTH","Beast",3,800,900,9159938,3
147,"Dark Hole","Magic",,,,,,,53129443,1
148,"Dark King of the Abyss","Monster","Normal","DARK","Fiend",3,1200,800,53375573,3
149,"Dark Magic Ritual","Magic",,,,,,,,3
150,"Dark Magician","Monster","Normal","DARK","Spellcaster",7,2500,2100,46986414,3
151,"Dark Magician (alternate artwork)","Monster","Normal","DARK","Spellcaster",7,2500,2100,40609080,3
152,"Dark Magician Girl","Monster","Effect","DARK","Spellcaster",6,2000,1700,,3
153,"Dark Rabbit","Monster","Normal","DARK","Beast",4,1100,1500,99261403,3
154,"Dark Sage","Monster","Effect","DARK","Spellcaster",9,2800,3200,92377303,3
155,"Dark Shade","Monster","Normal","WIND","Fiend",3,1000,1000,40196604,3
156,"Dark Witch","Monster","Normal","LIGHT","Fairy",5,1800,1700,35565537,3
157,"Dark Zebra","Monster","Effect","EARTH","Beast",4,1800,400,59784896,3
158,"Dark-Eyes Illusionist","Monster","Effect","DARK","Spellcaster",2,0,1400,38247752,3
159,"Darkfire Dragon","Monster","Fusion","DARK","Dragon",4,1500,1250,17881964,3
160,"Darkfire Soldier #1","Monster","Normal","FIRE","Pyro",4,1700,1150,5388481,3
161,"Darkfire Soldier #2","Monster","Normal","FIRE","Pyro",4,1700,1100,78861134,3
162,"Darkness Approaches","Magic",,,,,,,80168720,3
163,"Dark-Piercing Light","Magic",,,,,,,45895206,3
164,"Darkworld Thorns","Monster","Normal","EARTH","Plant",3,1200,900,43500484,3
165,"Deepsea Shark","Monster","Fusion","WATER","Fish",5,1900,1600,28593363,3
166,"Delinquent Duo","Magic",,,,,,,44763025,2
167,"De-Spell","Magic",,,,,,,19159413,3
168,"Destroyer Golem","Monster","Normal","EARTH","Rock",4,1500,1000,73481154,3
169,"Dian Keto the Cure Master","Magic",,,,,,,,3
170,"Dice Armadillo","Monster","Normal","EARTH","Machine",5,1650,1800,69893315,3
171,"Dimensional Warrior","Monster","Effect","EARTH","Warrior",4,1200,1000,37043180,3
172,"Disk Magician","Monster","Normal","DARK","Machine",4,1350,1000,76446915,3
173,"Dissolverock","Monster","Normal","EARTH","Rock",3,900,1000,40826495,3
174,"DNA Surgery","Trap",,,,,,,74701381,3
175,"Dokuroizo the Grim Reaper","Monster","Normal","DARK","Zombie",3,900,1200,25882881,3
176,"Dokurorider","Monster","Ritual","DARK","Zombie",6,1900,1850,,3
177,"Doma The Angel of Silence","Monster","Normal","DARK","Fairy",5,1600,1400,16972957,3
178,"Doron","Monster","Normal","EARTH","Warrior",2,900,500,756652,3
179,"Dorover","Monster","Normal","WATER","Aqua",3,900,800,24194033,3
180,"Dragon Capture Jar","Trap",,,,,,,50045299,3
181,"Dragon Piper","Monster","Effect","FIRE","Pyro",3,200,1800,55763552,3
182,"Dragon Seeker","Monster","Effect","DARK","Fiend",6,2000,2100,28563545,3
183,"Dragon Treasure","Magic",,,,,,,1435851,3
184,"Dragon Zombie","Monster","Normal","DARK","Zombie",3,1600,0,66672569,3
185,"Dragoness the Wicked Knight","Monster","Fusion","WIND","Warrior",3,1200,900,70681994,3
186,"Dream Clown","Monster","Effect","EARTH","Warrior",3,1200,900,13215230,3
187,"Driving Snow","Trap",,,,,,,473469,3
188,"Drooling Lizard","Monster","Normal","EARTH","Reptile",3,900,800,16353197,3
189,"Dryad","Monster","Normal","EARTH","Spellcaster",4,1200,1400,84916669,3
190,"Dunames Dark Witch","Monster","Normal","LIGHT","Fairy",4,1800,1050,12493482,3
191,"Dungeon Worm","Monster","Normal","EARTH","Insect",5,1800,1500,51228280,3
192,"Dust Tornado","Trap",,,,,,,60082869,3
193,"Earthshaker","Trap",,,,,,,60866277,3
194,"Eatgaboon","Trap",,,,,,,42578427,3
195,"Eldeen","Monster","Normal","LIGHT","Spellcaster",3,950,1000,6367785,3
196,"Electric Lizard","Monster","Effect","EARTH","Thunder",3,850,800,55875323,3
197,"Electric Snake","Monster","Effect","LIGHT","Thunder",3,800,900,11324436,3
198,"Electro-Whip","Magic",,,,,,,37820550,3
199,"Elegant Egotist","Magic",,,,,,,90219263,3
200,"Elf's Light","Magic",,,,,,,39897277,3
201,"Empress Judge","Monster","Fusion","EARTH","Warrior",6,2100,1700,15237615,3
202,"Enchanted Javelin","Trap",,,,,,,96355986,3
203,"Enchanting Mermaid","Monster","Normal","WATER","Fish",3,1200,900,75376965,3
204,"Eradicating Aerosol","Magic",,,,,,,94716515,3
205,"Eternal Draught","Magic",,,,,,,56606928,3
206,"Eternal Rest","Magic",,,,,,,95051344,3
207,"Exchange","Magic",,,,,,,5556668,3
208,"Exile of the Wicked","Magic",,,,,,,26725158,3
209,"Exodia the Forbidden One","Monster","Effect","DARK","Spellcaster",3,1000,1000,33396948,1
210,"Eyearmor","Monster","Normal","EARTH","Warrior",2,600,500,64511793,3
211,"Fairy Dragon","Monster","Normal","WIND","Dragon",4,1100,1200,20315854,3
212,"Fairy's Hand Mirror","Trap",,,,,,,17653779,3
213,"Fairywitch","Monster","Normal","DARK","Spellcaster",3,800,1000,37160778,3
214,"Faith Bird","Monster","Normal","WIND","Winged Beast",4,1500,1100,75582395,3
215,"Fake Trap","Trap",,,,,,,3027001,3
216,"Feral Imp","Monster","Normal","DARK","Fiend",4,1300,1400,41392891,3
217,"Fiend Kraken","Monster","Normal","WATER","Aqua",4,1200,1400,77456781,3
218,"Fiend Reflection #1","Monster","Normal","WIND","Winged Beast",4,1300,1400,68870276,3
219,"Fiend Reflection #2","Monster","Normal","LIGHT","Winged Beast",4,1100,1400,2863439,3
220,"Fiend Sword","Monster","Normal","DARK","Warrior",4,1400,800,22855882,3
221,"Fiend's Hand","Monster","Normal","DARK","Zombie",2,600,600,52800428,3
222,"Fiend's Mirror","Monster","Ritual","DARK","Fiend",6,2100,1800,,3
223,"Final Destiny","Magic",,,,,,,18591904,3
224,"Final Flame","Magic",,,,,,,73134081,3
225,"Fire Kraken","Monster","Normal","FIRE","Aqua",4,1600,1500,46534755,3
226,"Fire Reaper","Monster","Normal","DARK","Zombie",2,700,500,53581214,3
227,"Firegrass","Monster","Normal","EARTH","Plant",2,700,600,53293545,3
228,"Firewing Pegasus","Monster","Normal","FIRE","Beast",6,2250,1800,,3
229,"Fireyarou","Monster","Normal","FIRE","Pyro",4,1300,1000,71407486,3
230,"Fissure","Magic",,,,,,,66788016,3
231,"Flame Cerebrus","Monster","Normal","FIRE","Pyro",6,2100,1800,60862676,3
232,"Flame Champion","Monster","Normal","FIRE","Pyro",5,1900,1300,42599677,3
233,"Flame Ghost","Monster","Fusion","DARK","Zombie",3,1000,800,58528964,3
234,"Flame Manipulator","Monster","Normal","FIRE","Spellcaster",3,900,1000,34460851,3
235,"Flame Swordsman","Monster","Fusion","FIRE","Warrior",5,1800,1600,45231177,3
236,"Flame Swordsman (alternate artwork)","Monster","Fusion","FIRE","Warrior",5,1800,1600,40502030,3
237,"Flame Viper","Monster","Normal","EARTH","Pyro",2,400,450,2830619,3
238,"Flash Assailant","Monster","Effect","DARK","Fiend",4,2000,2000,96890582,3
239,"Flower Wolf","Monster","Fusion","EARTH","Beast",5,1800,1400,95952802,3
240,"Flying Kamakiri #1","Monster","Effect","WIND","Insect",4,1400,900,84834865,3
241,"Flying Kamakiri #2","Monster","Normal","WIND","Insect",4,1500,800,3134241,3
242,"Follow Wind","Magic",,,,,,,98252586,3
243,"Forced Requisition","Trap",,,,,,,74923978,3
244,"Forest","Magic",,,,,,,87430998,3
245,"Fortress Whale","Monster","Ritual","WATER","Fish",7,2350,2150,,3
246,"Fortress Whale's Oath","Magic",,,,,,,,3
247,"Frenzied Panda","Monster","Normal","EARTH","Beast",4,1200,1000,98818516,3
248,"Fusion Sage","Magic",,,,,,,26902560,3
249,"Fusionist","Monster","Fusion","EARTH","Beast",3,900,700,1641882,3
250,"Gaia Power","Magic",,,,,,,56594520,3
251,"Gaia the Dragon Champion","Monster","Fusion","WIND","Dragon",7,2600,2100,66889139,3
252,"Gaia The Fierce Knight","Monster","Normal","EARTH","Warrior",7,2300,2100,6368038,3
253,"Gaia The Fierce Knight (alternate artwork)","Monster","Normal","EARTH","Warrior",7,2300,2100,603060,3
254,"Gale Dogra","Monster","Effect","EARTH","Insect",2,650,600,16229315,3
255,"Gamma The Magnet Warrior","Monster","Normal","EARTH","Rock",4,1500,1800,11549357,3
256,"Ganigumo","Monster","Normal","EARTH","Insect",2,600,800,34536276,3
257,"Garma Sword","Monster","Ritual","DARK","Warrior",7,2550,2150,90844184,3
258,"Garma Sword Oath","Magic",,,,,,,78577570,3
259,"Garnecia Elefantis","Monster","Normal","EARTH","Beast-Warrior",7,2400,2000,49888191,3
260,"Garoozis","Monster","Normal","FIRE","Beast-Warrior",5,1800,1500,14977074,3
261,"Garvas","Monster","Normal","EARTH","Beast",6,2000,1700,69780745,3
262,"Gate Guardian","Monster","Effect","DARK","Warrior",11,3750,3400,,3
263,"Gatekeeper","Monster","Normal","DARK","Machine",5,1500,1800,19737320,3
264,"Gazelle the King of Mythical Beasts","Monster","Normal","EARTH","Beast",4,1500,1200,5818798,3
265,"Gemini Elf","Monster","Normal","EARTH","Spellcaster",4,1900,900,69140098,3
266,"Genin","Monster","Normal","LIGHT","Spellcaster",3,600,900,49370026,3
267,"Germ Infection","Magic",,,,,,,24668830,3
268,"Ghoul with an Appetite","Monster","Normal","DARK","Zombie",4,1600,1200,95265975,3
269,"Giant Flea","Monster","Normal","EARTH","Insect",4,1500,1200,41762634,3
270,"Giant Germ","Monster","Effect","DARK","Fiend",2,1000,100,95178994,3
271,"Giant Mech-Soldier","Monster","Normal","EARTH","Machine",6,1750,1900,72299832,3
272,"Giant Rat","Monster","Effect","EARTH","Beast",4,1400,1450,97017120,3
273,"Giant Red Seasnake","Monster","Normal","WATER","Aqua",4,1800,800,58831685,3
274,"Giant Scorpion of the Tundra","Monster","Normal","EARTH","Insect",3,1100,1000,41403766,3
275,"Giant Soldier of Stone","Monster","Normal","EARTH","Rock",3,1300,2000,13039848,3
276,"Giant Trunade","Magic",,,,,,,42703248,3
277,"Giant Turtle Who Feeds on Flames","Monster","Normal","WATER","Aqua",5,1400,1800,96981563,3
278,"Gift of The Mystical Elf","Trap",,,,,,,98299011,3
279,"Giganto","Monster","Normal","DARK","Machine",5,1700,1800,33621868,3
280,"Giga-tech Wolf","Monster","Normal","FIRE","Machine",4,1200,1400,8471389,3
281,"Giltia the D. Knight","Monster","Fusion","LIGHT","Warrior",5,1850,1500,51828629,3
282,"Goblin Fan","Trap",,,,,,,4149689,3
283,"Goblin's Secret Remedy","Magic",,,,,,,11868825,3
284,"Goddess of Whim","Monster","Effect","LIGHT","Fairy",3,950,700,67959180,3
285,"Goddess with the Third Eye","Monster","Effect","LIGHT","Fairy",4,1200,1000,53493204,3
286,"Gokibore","Monster","Normal","EARTH","Insect",4,1200,1400,15367030,3
287,"Graceful Charity","Magic",,,,,,,79571449,2
288,"Graceful Dice","Magic",,,,,,,74137509,3
289,"Grappler","Monster","Normal","WATER","Reptile",4,1300,1200,2906250,3
290,"Gravedigger Ghoul","Magic",,,,,,,82542267,3
291,"Gravekeeper's Servant","Magic",,,,,,,16762927,3
292,"Graverobber","Trap",,,,,,,61705417,3
293,"Graveyard and the Hand of Invitation","Monster","Normal","DARK","Zombie",3,700,900,27094595,3
294,"Great Bill","Monster","Normal","EARTH","Beast",4,1250,1300,55691901,3
295,"Great Mammoth of Goldfine","Monster","Fusion","DARK","Zombie",6,2200,1800,54622031,3
296,"Great Moth","Monster","Effect","EARTH","Insect",8,2600,2500,,3
297,"Great White","Monster","Normal","WATER","Fish",4,1600,800,13429800,3
298,"Green Phantom King","Monster","Normal","EARTH","Plant",3,500,1600,22910685,3
299,"Greenkappa","Monster","Effect","DARK","Warrior",3,650,900,61831093,3
300,"Griffore","Monster","Normal","EARTH","Beast",4,1200,1500,53829412,3
301,"Griggle","Monster","Effect","EARTH","Plant",1,350,300,95744531,3
302,"Ground Attacker Bugroth","Monster","Normal","EARTH","Machine",4,1500,1000,58314394,3
303,"Gruesome Goo","Monster","Normal","WATER","Aqua",3,1300,700,65623423,3
304,"Gryphon Wing","Trap",,,,,,,55608151,3
305,"Guardian of the Labyrinth","Monster","Normal","EARTH","Warrior",4,1000,1200,89272878,3
306,"Guardian of the Sea","Monster","Normal","WATER","Aqua",4,1300,1000,85448931,3
307,"Guardian of the Throne Room","Monster","Normal","LIGHT","Machine",4,1650,1600,47879985,3
308,"Gust","Trap",,,,,,,73079365,3
309,"Gust Fan","Magic",,,,,,,55321970,3
310,"Gyakutenno Megami","Monster","Normal","LIGHT","Fairy",6,1800,2000,31122090,3
311,"Hamburger Recipe","Magic",,,,,,,,3
312,"Hane-Hane","Monster","Effect","EARTH","Beast",2,450,500,7089711,3
313,"Haniwa","Monster","Normal","EARTH","Rock",2,500,500,84285623,3
314,"Happy Lover","Monster","Normal","LIGHT","Fairy",2,800,500,99030164,3
315,"Hard Armor","Monster","Normal","EARTH","Warrior",3,300,1200,20060230,3
316,"Harpie Lady","Monster","Normal","WIND","Winged Beast",4,1300,1400,76812113,3
317,"Harpie Lady Sisters","Monster","Effect","WIND","Winged Beast",6,1950,2100,12206212,3
318,"Harpie's Brother","Monster","Normal","WIND","Winged Beast",4,1800,600,30532390,3
319,"Harpie's Feather Duster","Magic",,,,,,,18144506,1
320,"Harpie's Pet Dragon","Monster","Effect","WIND","Dragon",7,2000,2500,52040216,3
321,"Heavy Storm","Magic",,,,,,,19613556,2
322,"Hercules Beetle","Monster","Normal","EARTH","Insect",5,1500,2000,52584282,3
323,"Hero of the East","Monster","Normal","EARTH","Warrior",3,1100,1000,89987208,3
324,"Hibikime","Monster","Normal","EARTH","Warrior",4,1450,1000,64501875,3
325,"High Tide Gyojin","Monster","Normal","WATER","Aqua",4,1650,1300,54579801,3
326,"Hinotama","Magic",,,,,,,46130346,3
327,"Hinotama Soul","Monster","Normal","FIRE","Pyro",2,600,500,96851799,3
328,"Hiro's Shadow Scout","Monster","Effect","DARK","Fiend",2,650,500,81863068,3
329,"Hitodenchak","Monster","Normal","WATER","Aqua",2,600,700,46718686,3
330,"Hitotsu-Me Giant","Monster","Normal","EARTH","Beast-Warrior",4,1200,1000,76184692,3
331,"Holograh","Monster","Normal","EARTH","Machine",3,1100,700,10859908,3
332,"Horn Imp","Monster","Normal","DARK","Fiend",4,1300,1000,69669405,3
333,"Horn of Heaven","Trap",,,,,,,98069388,3
334,"Horn of Light","Magic",,,,,,,38552107,3
335,"Horn of the Unicorn","Magic",,,,,,,64047146,3
336,"Hoshiningen","Monster","Effect","LIGHT","Fairy",2,500,700,67629977,3
337,"Hourglass of Courage","Monster","Effect","LIGHT","Fairy",4,1100,1200,43530283,3
338,"Hourglass of Life","Monster","Normal","LIGHT","Fairy",2,700,600,8783685,3
339,"House of Adhesive Tape","Trap",,,,,,,15083728,3
340,"Hungry Burger","Monster","Ritual","DARK","Warrior",6,2000,1850,,3
341,"Hunter Spider","Monster","Normal","EARTH","Insect",5,1600,1400,80141480,3
342,"Hyo","Monster","Normal","WATER","Warrior",3,800,1200,38982356,3
343,"Hyosube","Monster","Normal","WATER","Aqua",4,1500,900,2118022,3
344,"Hyozanryu","Monster","Normal","LIGHT","Dragon",7,2100,2800,62397231,3
345,"Ice Water","Monster","Normal","WATER","Aqua",3,1150,900,20848593,3
346,"Ill Witch","Monster","Normal","LIGHT","Spellcaster",5,1600,1500,81686058,3
347,"Illusionist Faceless Mage","Monster","Normal","DARK","Spellcaster",5,1200,2200,28546905,3
348,"Imperial Order","Trap",,,,,,,61740673,1
349,"Insect Armor with Laser Cannon","Magic",,,,,,,3492538,3
350,"Insect Queen","Monster","Effect","EARTH","Insect",7,2200,2400,91512835,3
351,"Insect Soldiers of the Sky","Monster","Effect","WIND","Insect",3,1000,800,7019529,3
352,"Inspection","Magic",,,,,,,16227556,3
353,"Invader from Another Dimension","Monster","Normal","DARK","Fiend",4,950,1400,28450915,3
354,"Invader of the Throne","Monster","Effect","EARTH","Warrior",4,1350,1700,3056267,3
355,"Invigoration","Magic",,,,,,,98374133,3
356,"Javelin Beetle","Monster","Ritual","EARTH","Insect",8,2450,2550,,3
357,"Javelin Beetle Pact","Magic",,,,,,,,3
358,"Jellyfish","Monster","Normal","WATER","Aqua",4,1200,1500,14851496,3
